target	runtime	route	conn	rep	rps	p50_ms	p90_ms	p99_ms	total	success_pct	server_cores	client_cores	server_peak_rss_mb	loadavg	memavail_mb
express	node	/hello	1024	2	10946.239945097483	28.508	44.344	67.771	10.041256226	100.0	0.9958	1.1569	158.23	4.57	4647
express	node	/hello	2048	1	11175.574174713265	31.821	46.325	61.857	10.088698642	100.0	0.9928	1.1286	216.69	4.43	4527
express	node	/hello	2048	2	11031.547716547873	37.529	53.967	76.449	10.15968048	99.68005075682045	0.9964	1.0966	220.0	4.21	4569
express	node	/json	128	1	10306.86324196417	10.806	17.106	24.038	10.004207641	100.0	0.9884	1.0614	221.54	3.95	4560
express	node	/json	128	2	10001.278791248773	10.957	20.222	30.575	10.007020311	100.0	0.9892	1.2253	221.54	3.88	4570
express	node	/users/42	128	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.81	4556
express	node	/users/42	128	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.98	4426
fastify	node	/hello	1	1	3215.511926581025	0.211	0.597	1.516	10.002450849	100.0	0.5947	0.6507	90.85	3.47	4673
fastify	node	/hello	1	2	3006.7796457482377	0.228	0.648	1.537	10.000732858	100.0	0.5664	0.6706	90.89	3.32	4702
fastify	node	/hello	32	1	30213.73263920081	0.838	1.828	3.968	10.001280001	100.0	0.9753	1.5506	98.59	3.61	4638
fastify	node	/hello	32	2	23700.01825732819	1.006	2.575	5.362	10.001047148	100.0	0.97	1.5704	98.62	3.76	4676
fastify	node	/hello	128	1	20171.516154900797	5.785	9.058	13.784	10.007279495	100.0	0.9921	1.5605	100.97	3.88	4699
fastify	node	/hello	128	2	20456.981979340362	5.627	9.060	13.892	10.003675039	100.0	0.9865	1.5441	113.44	3.83	4662
fastify	node	/hello	512	1	19871.199084445256	20.857	30.559	43.627	10.019274587	100.0	0.991	1.5351	120.05	3.66	4668
fastify	node	/hello	512	2	20244.018201356033	22.862	30.475	40.166	10.014266831	100.0	0.9958	1.4734	158.12	4.06	4647
fastify	node	/hello	1024	1	17987.34197581609	24.488	35.375	47.665	10.062854214	100.0	0.9933	1.5375	160.48	3.75	4641
fastify	node	/hello	1024	2	18745.735724863305	36.303	46.533	55.776	10.033161822	100.0	0.9978	1.5354	162.86	3.66	4619
fastify	node	/hello	2048	1	18612.620439532377	42.756	54.240	74.288	10.11012934	99.91633908412749	0.9983	1.4984	227.4	3.64	4615
fastify	node	/hello	2048	2	18916.854015378325	30.769	41.344	53.292	10.125679452	99.7239795407736	0.9975	1.5125	227.75	3.93	4597
fastify	node	/json	128	1	16656.009170508212	6.767	11.579	19.475	10.011161635	100.0	0.9817	1.4212	231.82	4.23	4401
fastify	node	/json	128	2	18820.77820477719	6.210	10.005	16.118	10.006228114	100.0	0.9872	1.4433	233.07	4.27	4034
fastify	node	/users/42	128	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.41	4409
fastify	node	/users/42	128	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.41	4298
bun-http	bun	/hello	1	1	3897.196431557489	0.161	0.511	1.403	10.00129213	100.0	0.5456	0.6937	36.52	3.74	4666
bun-http	bun	/hello	1	2	3841.061493933523	0.171	0.503	1.304	10.001401972	100.0	0.5437	0.6935	34.04	3.14	4674
bun-http	bun	/hello	32	1	41509.98268761468	0.585	1.406	3.342	10.001690512	100.0	0.9725	1.8133	40.35	3.41	4637
bun-http	bun	/hello	32	2	41173.48506870919	0.583	1.405	3.595	10.003865335	100.0	0.9593	1.8258	40.63	3.83	4477
bun-http	bun	/hello	128	1	44906.387325337135	2.616	4.323	6.923	10.002385557	100.0	0.9948	2.0868	40.48	4.10	4542
bun-http	bun	/hello	128	2	46042.59028396177	2.582	4.195	6.476	10.002825583	100.0	1.0119	2.0694	40.54	3.71	4600
bun-http	bun	/hello	512	1	45322.523280124115	10.825	13.919	19.967	10.016256094	100.0	1.0044	2.1156	40.56	3.82	4643
bun-http	bun	/hello	512	2	43526.457870116865	11.246	14.612	20.403	10.015333692	100.0	1.0035	2.1241	40.57	3.91	4627
bun-http	bun	/hello	1024	1	42013.09902608252	23.574	28.855	37.629	10.024706812	100.0	0.9951	2.1224	41.06	3.85	4457
bun-http	bun	/hello	1024	2	44059.81521542162	22.364	27.585	39.742	10.027845052	100.0	0.9835	2.1014	40.97	4.04	4436
bun-http	bun	/hello	2048	1	45144.1965673968	44.231	50.961	59.388	10.051701758	100.0	0.9838	2.1955	41.71	4.16	4629
bun-http	bun	/hello	2048	2	43288.925004888384	45.744	53.923	71.085	10.057607112	100.0	0.9887	2.3276	41.5	4.04	4621
bun-http	bun	/json	128	1	45526.95713201959	2.503	4.330	7.618	10.002711112	100.0	1.0041	2.0814	41.4	3.73	4517
bun-http	bun	/json	128	2	44156.37207883254	2.638	4.395	7.336	10.00313158	100.0	1.0143	2.1039	41.41	3.97	4595
bun-http	bun	/users/42	128	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.97	4614
bun-http	bun	/users/42	128	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.89	4608
elysia	bun	/hello	1	1	4248.922236821769	0.156	0.449	1.216	10.00088908	100.0	0.5296	0.6887	48.28	3.40	4662
elysia	bun	/hello	1	2	4011.7309091375387	0.160	0.487	1.259	10.00067076	100.0	0.5509	0.7172	47.91	3.16	4684
elysia	bun	/hello	32	1	51567.64374808863	0.476	1.097	2.711	10.002493085	100.0	0.9776	1.9403	49.67	2.90	4642
elysia	bun	/hello	32	2	45951.93286664779	0.523	1.269	3.208	10.001603226	100.0	0.9617	1.8967	49.82	3.01	4614
elysia	bun	/hello	128	1	51775.80885451523	2.266	3.804	6.384	10.004517775	100.0	1.0104	2.2357	49.84	3.16	4641
elysia	bun	/hello	128	2	51809.71110108671	2.205	3.951	6.963	10.006290114	100.0	0.997	2.247	49.74	4.02	4621
elysia	bun	/hello	512	1	44321.44945123298	10.716	16.389	24.900	10.014451366	100.0	0.9937	2.2811	49.89	4.86	3985
elysia	bun	/hello	512	2	45014.94719217417	10.648	15.425	23.440	10.023292887	100.0	0.9917	2.1531	49.84	5.30	4422
elysia	bun	/hello	1024	1	46415.02447172462	21.363	26.327	36.359	10.02414639	100.0	0.9832	2.2529	49.91	5.45	4628
elysia	bun	/hello	1024	2	46919.1940527529	21.059	25.624	34.187	10.027410093	100.0	0.9979	2.2714	50.08	4.60	4626
elysia	bun	/hello	2048	1	44517.51277159903	44.543	53.048	62.439	10.051078152	100.0	0.99	2.3171	50.21	4.52	4627
elysia	bun	/hello	2048	2	44296.08010553651	43.823	52.796	78.266	10.065585915	100.0	0.9626	2.0436	50.54	5.34	4052
elysia	bun	/json	128	1	46467.744510158904	2.492	4.406	7.273	10.00414384	100.0	1.0069	1.9583	52.41	5.42	4130
elysia	bun	/json	128	2	49007.34615365022	2.375	4.075	6.873	10.002480005	100.0	0.9982	1.9203	50.94	5.36	4569
elysia	bun	/users/42	128	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.25	4595
elysia	bun	/users/42	128	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.23	4620
ntex-w1	compio	/hello	1	1	1294.5025297847687	0.509	1.516	3.306	10.000752955	100.0	0.7729	0.3814	63.03	4.72	4660
ntex-w1	compio	/hello	1	2	1478.9455028454124	0.461	1.327	2.699	10.001044644	100.0	0.7678	0.3804	63.41	4.15	4685
ntex-w1	compio	/hello	32	1	19697.07522867373	1.231	3.154	6.177	10.002652562	100.0	1.4524	1.1108	75.21	3.95	4547
ntex-w1	compio	/hello	32	2	24915.58870370151	1.003	2.367	4.630	10.001730361	100.0	1.5404	1.266	80.8	3.72	4670
ntex-w1	compio	/hello	128	1	20489.029183958774	5.856	9.297	13.272	10.011455309	100.0	1.5375	1.1281	93.65	3.50	4649
ntex-w1	compio	/hello	128	2	19302.071172298383	6.156	9.982	15.790	10.004729455	100.0	1.5454	1.1601	97.73	3.08	4652
ntex-w1	compio	/hello	512	1	16718.821405886236	28.972	40.354	57.196	10.028099226	100.0	1.4569	0.8498	123.87	2.99	4602
ntex-w1	compio	/hello	512	2	16480.446752603417	29.333	41.430	54.899	10.048271293	100.0	1.4523	0.9259	130.52	3.34	4611
ntex-w1	compio	/hello	1024	1	13741.032219367537	71.334	93.503	140.456	10.061980628	100.0	1.3963	0.6823	161.55	5.11	4306
ntex-w1	compio	/hello	1024	2	12665.481474780003	77.126	106.321	143.968	10.077864016	100.0	1.4408	0.7792	166.43	4.64	4509
ntex-w1	compio	/hello	2048	1	13511.839474808761	147.616	181.331	220.111	10.097218832	100.0	1.4156	0.9203	190.63	4.80	4583
ntex-w1	compio	/hello	2048	2	13523.89745591408	148.322	174.469	219.348	10.106849778	100.0	1.412	0.8515	200.75	4.93	4368
ntex-w1	compio	/json	128	1	17838.59626187799	6.604	11.202	17.399	10.004654928	100.0	1.4901	0.8851	201.94	4.80	4219
ntex-w1	compio	/json	128	2	17287.103779887508	6.776	11.332	18.564	10.011624978	100.0	1.5182	0.9233	202.02	5.67	4343
ntex-w1	compio	/users/42	128	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.54	4368
ntex-w1	compio	/users/42	128	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.54	4410
ntex-w4	compio	/hello	1	1	1395.827224924847	0.464	1.445	3.062	10.001237797	100.0	0.7447	0.4154	63.27	5.11	4722
ntex-w4	compio	/hello	1	2	1416.6963042056657	0.465	1.389	3.133	10.000731955	100.0	0.7432	0.3761	64.14	4.27	4654
ntex-w4	compio	/hello	32	1	26600.776135058397	0.866	2.468	4.935	10.003542703	100.0	2.4859	1.5012	84.04	4.23	4684
ntex-w4	compio	/hello	32	2	25745.335382424022	0.879	2.576	5.269	10.00239446	100.0	2.4655	1.4856	87.25	4.56	4701
ntex-w4	compio	/hello	128	1	29214.74505378925	3.657	8.010	14.645	10.01100641	100.0	2.8848	1.8551	123.46	5.25	4635
ntex-w4	compio	/hello	128	2	28619.782354581253	3.841	8.067	13.491	10.006155758	100.0	2.7151	1.6093	126.03	5.52	4423
ntex-w4	compio	/hello	512	1	30465.669679092945	15.527	27.784	40.484	10.017997412	100.0	2.9998	1.7677	175.93	5.98	4423
ntex-w4	compio	/hello	512	2	30972.38587782934	15.243	26.924	42.414	10.018924639	100.0	3.0442	1.8271	242.78	6.41	4473
ntex-w4	compio	/hello	1024	1	26042.77601988542	36.462	64.424	96.834	10.046394432	100.0	2.9878	1.7114	257.93	6.49	4487
ntex-w4	compio	/hello	1024	2	28815.428903102795	33.142	57.402	87.656	10.046076391	100.0	3.0595	1.7851	263.0	6.87	4486
ntex-w4	compio	/hello	2048	1	24837.936774499	78.452	131.420	183.966	10.094034874	100.0	2.92	1.6712	288.57	7.33	4386
ntex-w4	compio	/hello	2048	2	23451.47371685422	81.755	141.899	199.896	10.100644542	100.0	2.9882	1.7387	299.91	7.61	4451
ntex-w4	compio	/json	128	1	29209.92381009885	3.761	7.944	13.098	10.006667662	100.0	2.9827	1.7453	302.89	7.62	4433
ntex-w4	compio	/json	128	2	22673.170286032186	4.654	10.424	20.164	10.019066462	100.0	2.8012	1.5993	302.93	7.86	4447
ntex-w4	compio	/users/42	128	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.86	4456
ntex-w4	compio	/users/42	128	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.87	4465
